0,1,2,3,4,5,6,7
GPATCH4,EPN1,PPIL4,CAT,DHX15,AP003733.1,CCDC69,PTGDR
HSP90AA1,IDH1,RP3-325F22.5,ATXN1L,FBXO4,HCCS,PPIF,PRMT2
RP11-5C23.1,MPV17,PXMP4,RP11-324I22.4,RFC2,CCT7,NCKAP1L,GYG1
FAM210B,CTBP2,PAFAH1B1,ARGLU1,CCDC174,SNX9,NKIRAS2,MARCH6
PRPF31,ELANE,SRPR,POMT1,BAZ2A,SLC6A6,RNF181,IL1B
RP11-378J18.3,ARSD,SNX5,SRSF5,MRPL42,DNTTIP1,TNFSF13B,WIBG
LINC00342,MRPL51,PRUNE,TINF2,VTI1B,SMIM7,NUDT5,STX4
FNBP4,HP,RP11-805J14.5,USP8,FKBP3,VPS25,C9orf142,SHARPIN
SRP72,CR1,ZNF653,ELP6,ARSG,MICU1,IDH3G,RNF213
ARL16,FERMT3,ZNF263,ZNF263,MTCH2,HDGF,NAA20,MOB2
ZNF682,ARHGAP18,DDX46,UBE2D2,CHIC2,RPL8,SAT1,RFXANK
NUPL2,LAIR1,DCAF8,FMO4,LAMP2,RTFDC1,POLR2I,ARPP19
DHX9,SMPDL3A,BOLA3,SMTN,ISY1,YPEL2,PLEKHB2,SNX20
ATAD1,ELL,R3HDM1,MED28,AAGAB,SIGLEC14,ADAM28,GRB2
LITAF,GPR84,ABI3,CAPN12,RAB38,MED28,PHF5A,CCND2
HPRT1,PMF1,TAOK2,ZNF468,CDV3,RBM3,MAP3K7,ORAI1
NR3C1,JARID2,ERV3-1,RUNDC1,PRAF2,METTL21A,TNFRSF17,RTFDC1
POLR2I,PRDX4,ZNF32,POLR3E,RIOK2,KDM3B,LIMD2,YIPF3
SURF6,ATP5C1,DOCK10,CTD-2012K14.7,ZNF688,GBP4,SPIB,SRSF6
CYB561,SLC27A1,TNFSF12,MRPL1,ZNF212,VPS26B,PSMG2,PASK
PDCD1,LSM14B,ATPAF1,RP11-408A13.4,CDC37,SIVA1,TMEM242,CTNNBL1
PLEKHA1,PCMT1,RBM4,ARID4A,MCM3,TM7SF3,CAPZA2,STRA13
RP11-178G16.4,PLAGL1,PRAF2,MTRF1,SLBP,GRPEL1,RARS,UBE2K
TCP1,NELFB,BOLA1,SMDT1,PGRMC1,SNX20,LSM6,ARPC4
TRIM23,MAT2A,ZNF92,SCFD1,ACADM,NECAB3,AHSA1,RP11-349A22.5
RP11-496I9.1,NDUFC2,FBXO7,RP4-800J21.3,DNAJB14,SAMSN1,OAS1,RBCK1
FBXO33,YWHAG,BRAT1,SAFB2,TMEM140,RAB1B,SKAP2,VTI1B
HOOK2,PUM1,SDHAF2,TMEM222,SPG7,CDK16,ISY1,MFF
RP11-421L21.3,NFKBIL1,RP11-111M22.3,PJA1,YIPF3,MRPL19,PCMT1,MAEA
IL24,COQ7,DUSP10,INVS,TCEAL8,DIAPH1,RFC2,TCEAL8
MLLT6,CHIC2,CHD7,HMG20A,PSMC6,DNAJC15,INTS12,MKKS
HMG20A,AC005082.12,SLC35A2,CRIP3,ORAI1,REEP3,NDUFA12,ATP6V1F
RASD1,CD48,RP11-196G11.2,RP11-390B4.5,TMX2,ASB8,EXOSC8,YWHAE
MRS2,LINC01003,CASC3,ITPA,ALKBH4,GFER,HCCS,FLOT1
ACTL6A,SLC16A5,PROK2,LINC00957,BZRAP1-AS1,PLEKHJ1,MESDC2,SNAPIN
DDB2,FLOT1,PSMB6,ATPAF1,BUB3,YWHAB,CDT1,IFIT1
GARS,NFIC,SNTA1,NUMB,AC093323.3,SYCE1,XPNPEP1,VPS28
SDHAF2,CXCL3,TMEM62,NXT2,GALT,PTAFR,HPRT1,AHSA1
SAFB2,DCP2,SSBP1,NFU1,MAEA,JAZF1,SAAL1,SCPEP1
RCL1,SLC39A1,VPS13C,PNRC1,FBXO25,C9orf69,IFT20,CARHSP1
FKBP3,WDFY3,CAMK2N1,SETX,MTERFD1,TIMM17A,ZNF503,FBXO7
RPS6KL1,FZD2,KIF3A,FLJ27365,SCFD1,NAA20,GLRX3,PPA2
PLD6,SH3GLB1,GDF11,KLHL24,SELPLG,ELOF1,RBCK1,PHF5A
SEPHS2,MTCH2,FRMPD3,VSIG10L,RP5-1028K7.2,AIM2,RRS1,TINF2
FOPNL,MICU1,ZFAND4,LRRIQ3,BRWD1,MBOAT7,PARL,TAOK3
ZC3H15,PSMB6,PSMA1,CDK16,SLA,PTGDR2,PAICS,TIMMDC1
RP13-270P17.1,ENHO,KIAA1430,TRAPPC12-AS1,GOSR2,SWAP70,MPHOSPH10,FAM32A
CSNK1A1,MLX,C19orf52,ARHGAP11A,ABHD12,CDV3,TCF12,TCP1
SEPT11,TMTC2,ABCG2,NIPSNAP3B,SRPR,CD47,AL928768.3,ARF4
NAA25,RP11-701P16.5,MPC2,VTI1A,NXT2,WDR45,NR2C2AP,MPC2
RP11-349A22.5,MAP3K8,IL4I1,SNX5,SNX5,WNK1,KLHL6,PSMC4
ZNF256,CSRNP1,UBAP2,TAOK3,IRAK4,PHF3,GLTP,PPP2CA
HCFC2,SLC19A1,TIMM22,PTPRN2,SNX14,SPPL2A,DNASE1L3,TMEM14C
SRM,YIPF3,CYB5B,RP11-488C13.5,CTNNBIP1,ATP5A1,ALG5,MT-CYB
CEP85L,EVA1B,PIK3R1,RP11-1000B6.3,FAM107B,MAPK1IP1L,FXN,RIC3
EIF1AY,CCDC124,RCL1,RELT,CHMP4A,MZT1,MCM3,CAP1
SAMSN1,DDAH2,AC074138.3,ATG16L1,C1orf35,CYTH2,MAT2A,RILPL2
RIOK2,TMEM199,FASTKD1,RP11-950C14.3,NF1,B2M,ACAT2,ATP6V0E1
FLJ00104,SND1,AGA,BANP,TMCO1,CTBP2,USP33,RAB7A
KRBOX4,FCER1A,PPIE,PDCD2L,DLST,FAM96A,LRRC59,SLBP
ZNF587B,SMIM12,RP11-430B1.2,TMBIM4-1,PKN2,BACH1,SRP9,TMED4
LINC00174,RIT1,SRM,RWDD4,FNBP4,NUMB,CSNK1A1,MAPK1IP1L
LYSMD4,SERPINF1,MRPL19,STAU1,NDUFC2,KARS,TMEM141,CD47
ZNF561,CPQ,TSSC1,RP11-142C4.6,TMEM199,GALK1,API5,H3F3B
RNF125,CXCL10,VMAC,MADD,ECHDC1,TMBIM6,CTNNAL1,CDC37
OARD1,RGL2,ZNF567,UBE2E1,JARID2,GMPPA,SNX9,SERPINB1
RP1-28O10.1,MKKS,U2SURP,RBM5,PURA,ACRBP,GALK1,ATP5C1
CASC7,CMTM7,MAPK1IP1L,ARMC7,ELOF1,SNRPB,TIMM10B,SDHB
FCGBP,GTPBP2,UNC45A,EARS2,TAPBP,FAM120A,KIAA0196,LYAR
RPN2,TPM4,GIMAP2,TMX2,HBP1,SAMM50,DNAJC2,PPT1
TASP1,ACTR2,RP11-308N19.1,NR3C1,WTAP,PPBP,IGLL5,MARCKSL1
TMX3,RABL6,ARF4,RP4-773N10.4,SLC50A1,PCYT1A,SNX10,SNX17
ST7L,SLC25A11,PUS7,FRMPD3,SEPHS2,UBE2Q1,SIRT6,GCA
ZMAT3,ACPP,C14orf80,CCDC62,ELP5,LAMTOR1,CSRP1,NAP1L4
NONO,REEP3,RNF14,TSSC1,CD96,BBC3,MYADM,PITHD1
PEMT,RNASE3,RP1-20N2.6,INTS12,TRMT61A,APOBEC3G,FGL2,OAS1
MTRF1,PROK2,NFIC,BEND2,PHF5A,PHACTR1,CLPX,NSA2
RNF113A,MED28,NUDCD1,POLR3K,PCSK7,COMMD8,DHRS4,GZMB
ANKHD1,WNT5B,RP11-798G7.6,DIDO1,UBLCP1,STK11IP,OAS3,TMEM14B
TEX12,ATP6V0E1,SLBP,RP5-894A10.2,DCP2,TMED5,PARVB,RAB11B
POMT1,RP11-1055B8.7,CXXC1,RABL2B,TRAPPC3,C1orf86,ZNF467,SH3GLB1
POLR3E,NIT1,CHMP4A,VPS13A,EMG1,EIF1AY,TMEM165,TAF12
ACVR2B,CORO1B,ORMDL2,EXOC4,NAA20,GPX1,TMEM55A,PSMA1
EMB,ATG7,AAGAB,AC068580.6,GLYCTK,GMPR,USP5,EIF1AY
RP11-502I4.3,IQCE,RAB8B,IDI1,ARF6,C4orf33,UBE2Q1,PRF1
OBSCN,USP7,HBA1,MARCH5,TMEM208,ARSD,GIT2,CSNK1A1
WHAMM,RPPH1,WIBG,RP11-977G19.12,GYG1,PLBD1,TASP1,RPN2
TBC1D15,DDT,CEP120,PGRMC2,ST20,HELQ,CCDC22,NDUFA2
LINC00959,RPH3A,ZNF333,FAM107B,SPRTN,TRAPPC3,FAM120A,SNHG8
SPIRE2,ELOVL3,BCDIN3D,RIOK1,RCL1,ARG2,EPN1,FNTA
C21orf33,UBXN1,USP7,RP11-432I5.1,HIST1H1B,C10orf32,PRKACA,GRN
CDC123,LSM6,EAPP,TMPRSS11E,TYW5,RNF25,TMEM219,PLEKHJ1
AC093323.3,CIDEB,PITPNM1,GCA,ZBTB10,NAT9,PLRG1,LSM14A
PRMT2,ZNF503,UBE2D3,LIX1L,MRPS23,RARS,HNRNPH3,NPC2
NIT2,PELI1,HIST1H2AH,PDE6B,RNF139,SF3B5,RCHY1,SELPLG
BZRAP1-AS1,TCEA2,RAD23A,ZCCHC9,JAZF1,SURF1,JKAMP,CNPY3
EHMT2,VIPR1,CDC123,PELI1,SH3BP1,NT5C,CRLS1,UBE2D2
PPIG,ZSWIM6,CTD-3214H19.4,TGFB1I1,GOLT1B,RALBP1,C12orf10,C16orf13
RCN2,RIN2,FBXO25,NUDT12,RALBP1,RRAGC,MIS18BP1,MT-CO2
WNK1,HDAC9,ITM2A,GPATCH4,PPP2R3C,CPQ,EFCAB14,WTAP
TRPV2,RP11-398C13.6,COPS4,PRPS2,SPG20,ECHS1,FNBP4,HLA-DRA
ARF4,GGA3,POLR2E,SUOX,ATP5C1,TMEM199,THYN1,PFDN2
CCDC3,PACSIN2,TUBG2,LYPLA1,TFAM,RAB11B,MFF,PRDX1
URB2,PCYT1A,PSMD14,HIST1H4I,VPS26B,RFXANK,SND1,CCT7
POLD2,OTOF,ZNF195,TMEM60,MAP2K7,LRRK2,NIT2,C14orf166
CCDC22,SLC22A4,FAM120A,GIT2,TCP1,PLEKHB2,UBA5,IDH3G
BTN3A2,PTGS1,FLJ00104,ZNF175,C10orf32,IL8,POLR3E,SMDT1
C16orf52,ICOSLG,DMTN,SNHG12,STOML2,RARA,SERPINB1,UBE2D3
PCNA,VPS25,SNAPIN,C7orf26,C17orf59,ASXL2,SNRNP27,TBCB
ZNF121,RNF213,DMPK,RBM7,LRRC59,U2SURP,PMF1,MT-ND5
CAMK2N1,CCP110,RPL7L1,MTERFD2,SMIM7,CORO7,DDB2,RP11-110I1.14
ZNF559,TEX2,LBR,SLC2A13,GID8,GBP1,ZC3H15,PPT2-EGFL8
ZNF799,HAVCR2,CCDC115,UBA5,NR3C1,ATP6V1D,CDC16,RP11-211G3.2
DHX8,SLC35A2,MLLT11,KRTAP5-AS1,COPS4,HAVCR2,MTIF2,BTN3A2
RP4-800J21.3,RP4-684O24.5,ZC3H15,PPP1R2,PSMB6,REPS2,PPP2CA,RP4-684O24.5
STT3A,C1QA,SPTSSB,TYW5,EDC3,TIMM22,PLEKHA3,TLR3
OSBPL7,TMEM104,WDR45,ARPP19,TMX3,NFU1,MBOAT7,RP11-544A12.4
C9orf37,ISOC2,DNAJC2,RP11-400F19.6,ERV3-1,MRPL41,RAB34,RP4-773N10.4
TNK1,PDIA5,RP11-390B4.5,ACTR2,BOLA3,IL1B,NUPL2,RP11-247A12.2
PDXDC1,GSTZ1,RER1,RP11-493L12.4,RAB21,FAM96B,FTH1,OMG
CTB-113I20.2,ITPA,CRLS1,CEP128,MMADHC,HDAC2,RELT,FCER1G
DPY19L4,C1QB,ZNF75A,CCT4,DENND6A,DDB2,HDLBP,S100A8
PIGU,VTI1B,ILF3,RP11-178L8.7,ACAP1,USP38,MLTK,CCDC3
CWC15,C4orf33,IGFBP4,CDC123,OXLD1,RP11-139H15.1,NOP58,SOX13
ACAT2,PKN2,CDK19,FNBP4,API5,TAF12,GINM1,PLIN5
SAAL1,AK4,HERPUD2,HRASLS,CPQ,MDP1,DOHH,CCDC62
MRM1,WDYHV1,PJA1,IP6K1,UBAP2,YWHAG,POLDIP2,JTB
TMEM60,TMEM141,MNAT1,LONRF1,MLLT11,PF4,WDR55,FRMPD3
AP4B1-AS1,MARCKSL1,AC010642.1,SCIN,CTNNBL1,MARCH5,MED28,FAM209A
NOL11,SENCR,ZNF468,WDR37,DPY30,PUM1,FASTKD1,ACVR2B
TTC1,MARCH2,RP11-252A24.3,DNAJC15,HDDC3,PICALM,ERI3,LINC00959
ARL2,TMEM234,MRM1,NUDCD1,ATXN10,NOL7,LIN52,CLECL1
SAMD4B,DDX46,OSBPL7,EIF5B,ZNF195,MLTK,TAOK3,ZNF425
ADSL,NDUFA10,FBXW4,TACR2,PRKD2,LRCH4,TOR1A,AC068580.6
AGA,RP11-87C12.2,MARCH6,MCF2L,OCIAD1,CYB561,PDCD2L,RBL1-1
PRKD2,SNAPIN,ABHD17B,MIS18A,BET1,COMMD10,VPS25,C10orf25
ZNF836,MAP3K7CL,IRAK4,NEDD4,YPEL3,SAMD9L,AATF,LRRC24
LRCH4,RALBP1,RBM3,CTD-2012J19.3,RP11-490M8.1,SNW1,CYB5B,KRTAP5-AS1
MLLT11,PPBP,CTNNAL1,TTC3,PPA2,NCOR2,GPS1,RP11-977G19.12
TADA2A,RP4-781K5.2,PEMT,RP13-314C10.5,BHLHE40-AS1,UBE2D3,AC010642.1,ZNF433
ATXN7L3B,MMP9,FZD3,C21orf33,INIP,PDZD11,GGNBP2,RAB12
PACS1,CAT,RPUSD4,UBE3A,STAU2,RIT1,SLC19A1,RP11-196G11.2
NEDD4,F13A1,RP11-141B14.1,ADNP,CELF1,ACBD3,DPH6,BHLHE40-AS1
RBL1-1,RFXANK,INTS12,RPA4,ALG5,ENKUR,NONO,NRN1L
SNHG7,ARPC4,SPSB2,ANKRD27,RPUSD2,ARL6IP5,NCF2,CTC-260E6.6
EIF2B1,VSIG10L,SMCHD1,NPPA-AS1,SH3KBP1,TCTA,ANAPC4,CTD-2012J19.3
DPY30,RP1-266L20.2,ATG7,RP11-502I4.3,FXN,FRAT1,SLBP,NCKAP1
ZNF75A,RAB7A,RALY,CTB-152G17.6,VPS13A,MPC2,ATP6V1C1,RP11-490M8.1
KCNJ14,GPS1,TNK1,TRMT61A,RAB11B,EFCAB14,CWC27,STUB1
RP5-827C21.4,MRP63,GFER,OARD1,C16orf13,EIF2S1,CIDEB,RP11-178L8.7
TIMM22,STK11IP,MTERFD2,LINC00886,UBXN4,SPG7,C14orf80,NUDT12
KARS,PLEKHB2,FANCI,CALD1,DOHH,CASC7,SMDT1,RP11-159H10.3
MZT1,ECHDC1,LUC7L,CCDC163P,PHKG2,GNG11,NUDCD1,AL928742.12
TMBIM6,C17orf62,MGA,TMEM251,CDT1,JTB,LMAN2,RP11-420A6.2
WDR37,MRPL41,NNT-AS1,UBXN4,SYTL2,GPS1,TTC1,SCIN
NME3,TNS1,WDR44,KDM4A-AS1,C15orf61,TRIM69,FOSL2,RP11-805J14.5
ATPAF1,CELF1,PTGDS,CLIP2,ATP6V1F,CEACAM4,PIGF,KCNH3
CCDC163P,ABCC3,DLST,INTS2,DENND1C,PHF5A,MRPS33,RP11-356N1.2
BABAM1,APH1B,C14orf1,FCGBP,STK38,SGK1,SLC25A11,TACR2
KCNH3,HEXIM2,AC093323.3,USP30,ARRB2,FH,CORO1C,AC093642.3
GIT2,HLA-DQB1,RNF187,AC093642.3,SUMO3,ATG7,UBE2C,CCDC163P
ATG4C,AC004069.2,EDC3,SLC4A8,TMEM62,GOSR2,RBPJ,RP11-77H9.2
USP38,CDK19,GLYCTK,URGCP,BNIP2,STK32C,TMEM199,MCM10
PLEKHA3,IDH2,CISD1,POLR2K,CDC42EP3,SPRTN,PBRM1,LYZ
DENND6A,RELB,PDIK1L,LINC00342,RAB1B,TAF10,ARRB2,TMPRSS11E
UBE3A,IQCH-AS1,PPP2R1B,GOLGB1,STX4,PBRM1,TRIT1,TMBIM6
CHD7,MTIF3,COLGALT2,LUC7L,TMEM242,STUB1,LAT2,TTC8
SLBP,LAMP2,NAP1L4,CORO1C,SLFN5,RAB21,CISD1,CCDC153
CD2AP,SMARCA4,MUM1,ZBP1,MYOM2,CTTN,RABIF,RP11-215G15.5
PPIL4,RABIF,ANTXR2,DMPK,USP33,FCGR1B,ITSN2,AURKC
MRPL41,TRAPPC3,RBM25,RMDN3,RAB9A,SDPR,RBM25,HIST1H4I
MAP2K7,F5,PIGL,U2SURP,KIAA0196,TRMT61A,ATPAF1,SUOX
ORAI1,PRELID2,RARS,RP11-490M8.1,VAPA,MFSD1,TINF2,RP13-314C10.5
TOMM40,CDC42EP3,SMARCC2,RP1-111C20.4,SMIM12,AATF,RBBP6,RP11-10K16.1
DHX34,PIGF,TMEM165,PSMC6,BIRC5,DCP2,ZBP1,AC010894.5
SCFD1,SURF1,TBPL1,BET1,UCK1,RNF187,RGS18,ATP5H
ATP5A1,SAMD9L,CECR5,LRBA,TBC1D15,CDK19,TMEM87A,WNT5B
PURA,SSBP3,LRBA,RPL39L,HAGH,ATXN3,SRSF6,RNASE3
SNX9,SUMO3,STAU2,GRB2,GLRX3,IGFBP7,HDAC9,ARHGEF4
PLA2G12A,MRPL43,SOX13,NBR1,ATP6V1D,MVB12A,ZNF106,ABCG2
TTC14,KLHL6,RHBDD3,RP11-211G3.2,TMED5,ARF4,PDZD11,RP11-141B14.1
ARHGEF4,SLC2A13,AKTIP,RCN2,NKAP,NBR1,NOL11,TEX12
CTB-152G17.6,BABAM1,GNPAT,TRIM16L,XXbac-BPG299F13.17,ARF6,ZMAT5,IFT81
LYRM2,RP1-111C20.4,TTC8,WARS2,RP11-545I5.3,DICER1,NF1,AK4
ARVCF,RTFDC1,DTYMK,CTD-2541M15.1,RNF168,HLA-DQA1,FAM96A,NEUROD2
PRPS2,CTC-428G20.6,OTUB1,CDKN2A,ZMAT5,C1orf35,RP11-145M9.4,CACNA1C-AS1
ACP1,SPPL2A,RPN2,RP11-798G7.6,IDI1,OXLD1,PHKG2,CTC-454I21.3
MRPL42,ARL4A,USP5,LPGAT1,CISD1,SLC25A11,ATP5D,CTD-2227I18.1
TBC1D23,SLC12A4,PCNA,SAAL1,CPSF3L,HBP1,USP38,KCNJ14
DDI2,ECSIT,CLECL1,ARHGAP18,PCMT1,GPR35,MCM10,ANKRD50
ZNF175,FAM209A,RP11-385F7.1,R3HDM2,EIF2S1,PDHB,CES4A,RP11-932O9.7
PSMD14,GRSF1,NDUFB8-1,SETD1B,ATP8B3,ATP6V1C1,PPIG,RP13-270P17.1
SEC31A,UBE2E1,C2orf76,AKAP8,ECSIT,FRY-AS1,SLC39A1,NEDD4
PPP1R8,PSMG2,CCDC91,RBM26-AS1,RPL39L,NFKBIL1,RNF187,LIPC
PJA1,DMAP1,RPL13,RP11-706O15.1,AP001462.6,NEFH,LUC7L3,CTC-444N24.6
ACOT13,LINC00984,CLPX,DPH6,ADNP,COLGALT1,COMMD8,RP11-308N19.1
SH3KBP1,RP11-145M9.4,CLU,IFT81,AP4B1-AS1,RBM7,TSSC1,LINC00174
MARCH6,PTGES2,EIF2S1,NKTR,THBS1,UBLCP1,GOT2,C2CD4D
DENND1C,NUDT1,FAM98A,UBB,KIF5B,TCP1,BLM,RP11-378J18.3
ZNF232,SEPT4,F11R,ZNF626,AAR2,OARD1,FBXO25,RP11-324I22.4
GPR55,NMNAT3,MAF1,LAIR1,C16orf54,PGRMC1,MTIF3,ARVCF
RABL2B,ASAP2,UBA5,STMN1,PIGU,CHIC2,POLR3K,RP11-493L12.4
RAD23A,HOMER2,AP001462.6,RTFDC1,ZNF468,SPATA6,ACP1,SMTN
ACVR2A,CTC-444N24.6,C10orf32,TEX12,EID2,ZC3H15,CUL4B,RP11-545I5.3
LRIG2,RP11-211G3.2,BLZF1,NAPA-AS1,ARVCF,EGFL7,SMAP2,ZNF436
RBM39,YPEL2,ACTR6,SPATA6,ZNF45,MANBA,PRDX4,ARHGAP11A
PHF12,REPS2,NAA20,ZBTB10,KLHL24,EAPP,SRPR,RP11-1055B8.7
RP11-178L8.7,FAM96B,SH3BP1,ARRDC4,EMB,CTNNBIP1,GZMK,MYH10
CEP120,C1QC,SNHG8,ARF6,LSM14A,TRIM14,TADA2A,RP1-266L20.2
RPL7L1,CCDC153,DMAP1,MCUR1,TCTA,BABAM1,PRPF31,GPR55
NIT1,RP11-10K16.1,PDZD11,FH,TLE4,BAZ2A,PGM2,FZD2
RP11-294J22.6,HCCS,NCKAP1,RAB12,ATXN1L,CXCL10,TCEAL4,SYP
RP11-554J4.1,JAGN1,MED7,CD274,PARS2,FEM1B,ETHE1,RPA4
MRP63,LPGAT1,DHX15,DDX17,NUDT16L1,FEM1A,SMARCD1,RP13-753N3.1
PHF3,LONRF1,PDZD4,CLNS1A,7SK-2,SCGB1C1,ANKRD27,RP1-20N2.6
NOC4L,CLIP1,RP11-950C14.3,ARHGAP19,C1orf198,GRSF1,EIF1B,C1QC
ERI3,RBPJ,FNTA,KRBOX4,WDR37,ACPP,LBR,U73166.2
GTF2B,RSPH9,FBXO4,XXbac-BPG299F13.17,GPKOW,PARL,SDAD1,RP11-502I4.3
DYNLL2,FAM120A,AC010894.5,ZNF333,C14orf80,TSC22D1,TNFRSF1A,RP11-294J22.6
BBX,UBE2D4,NRN1L,RP11-308N19.1,RP11-468E2.4,VTI1B,EIF5B,VSIG10L
TRIT1,UTP6,LIX1L,VIL1,ZNF559,HMGCL,SYVN1,PLXNA1
F5,DEDD,MLEC,NCKAP1,ZNF92,CCDC153,NOL7,CTD-3214H19.4
CEP128,FRY-AS1,TMEM138,AP4S1,PSMD14,MAT2A,DENND1C,CTD-2302E22.4
ALKBH7,MBNL1-AS1,PHF12,CEP120,TPM2,SUOX,MARCH2,KDM4A-AS1
DTX3,ARRDC4,AC113189.5,GPR183,RDH14,PARVB,DOCK10,NIPSNAP3B
R3HDM1,IDO1,PRKD2,ARHGAP6,ARIH2OS,TCEA2,TMEM50A,FCGBP
KIF5B,PLIN5,ARHGEF4,FAM98A,DDX17,RNF14,RAB1B,ZNF594
PTPRN2,CTNNB1,ATP6V1C1,RP13-753N3.1,SLC25A12,C14orf166,ACTL6A,ELOVL3
CWC27,FAM32A,ABT1,PEX26,FAM173A,C6orf25,MRPL42,RP11-408A13.4
GTPBP6,KLF13,PLEKHA3,CR1,ATAD1,SCP2,BOLA1,LINC00957
ANAPC13,OMG,ZNF121,SNRPB,SAMD9L,PCGF1,USP7,DNAJC27
TSPAN15,MYH10,MPV17,SNX9,HMGCL,C5orf15,MARCKSL1,C1orf186
VIPR1,PALLD,NECAB3,ATXN3,TMEM138,IFI44,OARD1,DMPK
CEP164,C5AR2,AC093642.3,ACD,ATP5SL,FAM210B,ECHDC1,RP11-252A24.3
STK38,DNAJC2,POLR3E,USP33,TKTL1,MAP3K7,C9orf37,KIF3C
KRTAP5-AS1,RNF168,MAP3K7,N4BP2L1,UBE2C,SLA,NFU1,EFCAB4A
PPIE,C16orf13,THAP2,LAMTOR5,PRPF8,CLU,SIAH2,SNHG7
C8orf44,SPATA6,ARHGEF7,RP4-612B15.3,TXNDC17,MKLN1,ANTXR2,SLC4A8
ELP5,TSPAN33,WDR91,MKLN1,PRNP,hsa-mir-1199,DLST,RP1-28O10.1
LIN52,MIS18BP1,THEM4,HINT1,CHI3L2,SREBF1,TMEM189,CTD-2537I9.12
WIBG,PCGF1,RP1-315G1.3,PIGL,MED7,NFAT5,NDUFS1,RPS6KL1
WDR91,FAAH,PHKG2,LILRA4,VPS28,GLRX3,CD2AP,MMP9
RBPJ,C18orf21,TMEM116,TANGO6,CDK16,LYRM2,RRAGC,HIST1H2AH
TMED4,YTHDC1,NUDT5,IQCH-AS1,C21orf33,RABIF,SUV420H2,OTOF
TTN-AS1,NFE2L2,NARS,RP11-215G15.5,PAFAH1B1,MPV17,GTF2B,C5AR2
TRIM14,NABP1,RP11-544A12.4,DSCR3,MIS18A,NMNAT3,DIAPH1,SF3B5
UBLCP1,CTD-3214H19.4,C3orf38,FBXO33,SMARCC2,ADAM10,GPR35,CTD-2012K14.7
AHSA1,ATP6V1C1,ZNF841,C9orf3,HPRT1,DDT,PSMC6,LINC00886
USP33,CTC-378H22.1,TASP1,AC074138.3,USP7,DSCR3,CEPT1,ELANE
TOP2B,SLC6A6,CIAPIN1,STT3A,ATP6V1C1,KCNE1,DDX46,RIN2
DNM3,AC007879.7,TNFRSF1A,AC092295.7,TRIT1,PLRG1,ADSL,IPO9-AS1
NOL7,CORO7,ACADM,TDG,DMAP1,TMCO1,DHX15,RP11-219B4.7
NME6,CLIP2,ZNF425,SNAP47,SEPT11,ZNF330,PDXDC1,ZNF587B
TIMM10B,IPO9-AS1,PDE6B,OSBPL1A,CTC-444N24.11,ZCCHC9,LTB4R,POLA1
TMEM138,MLEC,KCNJ14,GDF11,LINC01003,LMF2,NCOR2,LINC00494
ELOVL4,PPIB,TAPBP,SMC2,RP11-400F19.6,TGOLN2,SF3B1,RP11-314N13.3
MCF2L,CECR5,ARL2BP,SNRNP27,IER3,PSMC6,BAG5,CD74
ABI2,PRPF8,LYPLA1,DHX8,PDK2,MAP3K7CL,REXO2,RP11-390B4.5
FLJ27365,PUS7,SARS,NFAT5,GGNBP2,TMEM165,PRKCD,BGLAP
RP13-270P17.3,POLR2E,BMPR2,NNT-AS1,TRAF3IP3,SMIM12,MYO9B,ARHGDIA
C3orf38,STK38,FOSL2,MYH10,TAF10,NUDCD1,SNCA,LRRIQ3
PRKACB,PPT2-EGFL8,RBM5,SDCBP2,GUCD1,NKAP,PITPNA-AS1,COLGALT2
ZFAND4,ABCC10,KLF13,RP11-252A24.3,SAMD1,RP11-215G15.5,TCP1,ANKS1B
CTD-2537I9.12,SERAC1,BRWD1,PDIA5,MFF,PELI1,SMIM5,LGALS3
UQCC1,PARS2,ARL16,CD2AP,XPNPEP1,NKTR,CLIC3,CAMK2N1
NUDT12,KIAA0196,SEPT11,ATP9A,LMF2,ADD1,FBXO7,RP11-527L4.5
UBA5,CITED4,ELP6,CHERP,PSMA1,EWSR1,METTL8,PPIB
ZCCHC9,GNPAT,ZNF436,TNRC18,RP11-385F7.1,BAG5,TSPAN33,YES1
ZNF350,VTI1A,RBM39,ZUFSP,ITPA,TPM1,EIF1AY,RP11-432I5.1
LY6G5B,CLEC4C,ZMAT5,DDI2,LPIN1,S100B,GOLT1B,RP11-496I9.1
OXLD1,SLC48A1,IDUA,QRICH1,FAM120C,RP11-468E2.4,NAT9,CTC-428G20.6
ANKAR,GLYCTK,SF3B1,NEUROD2,PEX19,SLC4A8,WDYHV1,CRIP3
NUDCD1,AURKC,URB2,CUL4B,CRLS1,AC010642.1,RILPL2,ARHGAP19
TUBG2,CNEP1R1,POLDIP2,LBR,NOL11,ANKRD9,DTYMK,DNM3
PDIK1L,MRPS23,GPR55,NIT2,DDX1,DEDD,UTP6,IDO1
FAAH,LRRC59,ADNP,BLZF1,LRCH4,USP19,KIAA0125,SNTA1
MEIS1,IL1RAP,CLSTN3,SCAI,SDCCAG8,RP1-20N2.6,PTGS1,CDT1
CSRNP1,CES4A,CLIP1,SMARCD1,CD2AP,TMEM80,UBAP2,HIST1H1B
C1GALT1C1,RP13-270P17.3,CALD1,ISG20L2,PCGF1,FAM173A,IDI1,GPR84
BBC3,SAMD1,TOP2B,PPP2R1B,CLPX,C5AR2,ID2,CD274
LIPC,NF1,RHEBL1,TPM2,UBE2D2,NKIRAS2,GPR183,TEX2
